student_id,age,gender,degree_type,stream,year_of_study,college_tier,urban_or_rural,daily_ai_tool_usage_hrs,primary_ai_tools_used,uses_ai_for_assignments,ai_replaces_own_thinking_score,ai_dependency_score,placement_anxiety_score,fear_of_job_loss_to_ai,career_clarity_score,internship_experience,weekly_job_application_count,resume_confidence_score,interview_anxiety_score,daily_study_hours,self_learning_hours_per_week,skill_development_courses_taken,social_media_hrs_per_day,sleep_hours,stress_level,burnout_score,motivation_score,seeks_career_counseling,overall_career_readiness_score
STU_00001,25,Male,B.Tech/B.E.,Engineering (Non-CS),3,Tier 3,Rural,0.3,Perplexity,Never,1,1,3,2,6,2,11,5,2,3.5,8.7,2,1.5,8.5,1,3,6,0.0,9.09
STU_00002,20,Female,B.Tech/B.E.,Engineering (Non-CS),4,Tier 3,Urban,1.9,ChatGPT,Rarely,3,7,5,3,8,2,19,4,7,2.4,8.2,3,4.2,8.3,4,5,3,0.0,6.03
STU_00003,25,Female,MBA,CS/IT,1,Tier 3,Urban,3.6,Gemini,Sometimes,4,7,6,3,6,1,15,3,6,2.3,16.4,1,2.3,7.0,5,9,3,1.0,6.68
STU_00004,23,Male,B.Tech/B.E.,CS/IT,1,Tier 1,Urban,4.1,GitHub Copilot,Frequently,4,4,3,4,7,3,8,5,4,7.7,15.0,3,2.6,7.2,6,6,6,0.0,7.71
STU_00005,22,Female,MBA,CS/IT,1,Tier 1,Urban,3.4,ChatGPT,Sometimes,4,10,8,5,3,3,5,4,9,2.4,1.1,2,1.9,8.0,3,5,4,0.0,4.64
STU_00006,21,Female,B.Tech/B.E.,Arts/Sciences,2,Tier 3,Urban,0.6,ChatGPT,Never,2,4,4,3,7,1,1,4,2,0.8,7.9,1,4.7,7.6,2,3,6,0.0,5.13
STU_00007,21,Female,B.Sc/B.A/B.Com,Commerce/Management,3,Tier 3,Urban,3.8,ChatGPT,Frequently,3,1,3,1,8,2,12,5,3,6.3,19.1,8,2.6,8.1,4,3,8,0.0,6.53
STU_00008,23,Male,B.Tech/B.E.,CS/IT,4,Tier 3,Urban,1.2,ChatGPT,Rarely,2,1,1,2,8,2,3,5,2,2.8,7.2,5,2.5,7.7,1,4,3,0.0,8.24
STU_00009,21,Female,M.Tech/M.Sc,Commerce/Management,1,Tier 3,Urban,0.0,None,Never,4,6,6,4,5,1,6,3,5,2.0,0.0,2,4.1,6.6,5,6,5,1.0,4.96
STU_00010,22,Male,MBA,Arts/Sciences,1,Tier 1,Urban,1.2,ChatGPT,Rarely,2,1,2,2,6,1,7,4,1,4.5,0.4,3,2.5,6.8,1,1,9,0.0,5.86
STU_00011,23,Female,B.Tech/B.E.,Commerce/Management,3,Tier 3,Urban,2.2,Gemini,Rarely,1,5,1,5,10,1,13,2,7,0.6,2.5,2,2.6,7.0,4,3,6,0.0,5.68
STU_00012,21,Male,B.Tech/B.E.,CS/IT,2,Tier 2,Urban,5.3,ChatGPT,Always,5,8,4,5,4,3,0,3,3,2.7,15.4,1,,7.5,3,5,5,0.0,8.24
